<<<<<<< HEAD
Eggs,4.51
Croissant,8.99
Chicken Thighs,6.45
Salmon,18.25
Orange Juice,6.31
Rib Eye,23.99
Bacon,7.89
Milk,4.25
Butter,4.66
Greek Yogurt,6.99
Rice 25lb, 29.32
Walnuts,8.41
Brocolli,4.26
Carrots,2.85
Spinach,3.87
Tomatos,4.88
Grapes,5.66
Cereal,8.39
Paper Towels,12.49
Coffee Beans,13.75
Coke 2L,3.44
Pork Chops,13.99
Tuna Can,9.99
Turkey Deli,10.29
Salsa,5.29
Potato Chips,5.99
Orange Juice,8.04
Cream Cheese,6.13
Parmesan Cheese,11.22
Ketchup,3.66

 


=======
Eggs,4.51
Croissant,8.99
Chicken Thighs,6.45
Salmon,18.25
Orange Juice,6.31
Rib Eye,23.99
Bacon,7.89
Milk,4.25
Butter,4.66
Greek Yogurt,6.99
Rice 25lb, 29.32
Walnuts,8.41
Brocolli,4.26
Carrots,2.85
Spinach,3.87
Tomatos,4.88
Grapes,5.66
Cereal,8.39
Paper Towels,12.49
Coffee Beans,13.75
Coke 2L,3.44
Pork Chops,13.99
Tuna Can,9.99
Turkey Deli,10.29
Salsa,5.29
Potato Chips,5.99
Orange Juice,8.04
Cream Cheese,6.13
Parmesan Cheese,11.22
Ketchup,3.66

 


>>>>>>> 1cfed81c602daa953224678ca904693205d5e933
